,C6orf223,KRT7,cg18949415,cg22193385
59,9.341446935,0.414597678,0.197243,0.05923497
60,24.052693,1.397055918,0.217156,0.05723894
61,4.47412627,0.356811479,0.143552,0.04398394
62,3.93000199,14.04708576,0.293299,0.04389457
63,3.233828436,7.280799966,0.2812346,0.04808999
64,1.193791939,1.857293022,0.3466775,0.04115818
65,12.6828355,2.523136451,0.2599844,0.1168363
66,6.41713283,5.177560165,0.4435862,0.1701626
67,10.87038564,1.631172734,0.3653197,0.05791561
68,3.939370561,0.718651802,0.1972765,0.05185867
69,33.41644009,0.624267569,0.1250418,0.0760485
70,25.82520464,0.543946877,0.2023587,0.04324482
71,35.36891509,0.68523089,0.05814469,0.321986
72,9.596333881,1.290489529,0.3416402,0.0793582
73,9.52970655,0.55443724,0.131264,0.04034443
74,12.00151492,0.401110154,0.1270615,0.1892766
75,10.83739404,0.472039559,0.2436392,0.0888166
76,2.983996576,0.660107858,0.3368795,0.08924164
77,1.463039561,1.36012483,0.06716938,0.03261587
78,12.56320103,1.502872539,0.1497446,0.1592773
79,11.38919939,0.744813988,0.1282201,0.04704888
80,12.55517155,0.518933055,0.1498728,0.3991578
81,3.039851581,1.326566573,0.2664686,0.05204892
82,15.90703075,3.751866745,0.1328142,0.02630391
83,5.257645774,3.77510209,0.1716499,0.04682594
84,1.106893363,1.148500609,0.2192803,0.03803839
85,9.525946866,2.653962211,0.1427348,0.04382138
86,5.195695199,0.859589222,0.1999172,0.04897948
87,7.310492581,0.647155171,0.1520889,0.04761674
88,10.03057345,3.124894797,0.2710527,0.08383429
89,15.21491629,75.61614477,0.3817945,0.07194181
90,23.70364152,0.765796249,0.319478,0.06146723
91,35.7687069,2.309362548,0.2001419,0.04445584
92,7.543780273,6.691951431,0.08924175,0.03739929
93,23.52425626,1.10556618,0.2110703,0.1116786
94,9.970327563,3.001663597,0.2567005,0.06931251
95,7.79696285,1.079205105,0.2273124,0.06273224
96,8.539620997,4.211889909,0.1863137,0.04412167
97,8.945067666,0.808599424,0.2518955,0.07083912
98,6.942928444,2.279695985,0.2686298,0.06758672
99,20.22365593,0.485306765,0.1280711,0.1327023
100,14.27312408,4.855154061,0.1888333,0.04330608
101,3.029826486,0.637020856,0.261859,0.02884851
102,0.346842736,1.537083883,0.2425517,0.0826213
103,4.183965503,3.921979652,0.2546076,0.04079819
104,9.609032547,0.246947158,0.1663863,0.1034322
